PassengerId,Survived,Pclass,Sex,Age,SibSp,ParCh,Fare,Embarked
1,No,3,male,22,1,0,7.25,S
2,Yes,1,female,38,1,0,71.2833,C
3,Yes,3,female,26,0,0,7.925,S
4,Yes,1,female,35,1,0,53.1,S
5,No,3,male,35,0,0,8.05,S
6,No,3,male,27,0,0,8.4583,Q
7,No,1,male,54,0,0,51.8625,S
8,No,3,male,2,3,1,21.075,S
9,Yes,3,female,27,0,2,11.1333,S
10,Yes,2,female,14,1,0,30.0708,C
11,Yes,3,female,4,1,1,16.7,S
12,Yes,1,female,58,0,0,26.55,S
13,No,3,male,20,0,0,8.05,S
14,No,3,male,39,1,5,31.275,S
15,No,3,female,14,0,0,7.8542,S
16,Yes,2,female,55,0,0,16,S
17,No,3,male,2,4,1,29.125,Q
18,Yes,2,male,23,0,0,13,S
19,No,3,female,31,1,0,18,S
20,Yes,3,female,22,0,0,7.225,C
21,No,2,male,35,0,0,26,S
22,Yes,2,male,34,0,0,13,S
23,Yes,3,female,15,0,0,8.0292,Q
24,Yes,1,male,28,0,0,35.5,S
25,No,3,female,8,3,1,21.075,S
26,Yes,3,female,38,1,5,31.3875,S
27,No,3,male,26,0,0,7.225,C
28,No,1,male,19,3,2,263,S
29,Yes,3,female,24,0,0,7.8792,Q
30,No,3,male,23,0,0,7.8958,S
31,No,1,male,40,0,0,27.7208,C
32,Yes,1,female,48,1,0,146.5208,C
33,Yes,3,female,18,0,0,7.75,Q
34,No,2,male,66,0,0,10.5,S
35,No,1,male,28,1,0,82.1708,C
36,No,1,male,42,1,0,52,S
37,Yes,3,male,18,0,0,7.2292,C
38,No,3,male,21,0,0,8.05,S
39,No,3,female,18,2,0,18,S
40,Yes,3,female,14,1,0,11.2417,C
41,No,3,female,40,1,0,9.475,S
42,No,2,female,27,1,0,21,S
43,No,3,male,,0,0,7.8958,C
44,Yes,2,female,3,1,2,41.5792,C
45,Yes,3,female,19,0,0,7.8792,Q
46,No,3,male,30,0,0,8.05,S
47,No,3,male,20,1,0,15.5,Q
48,Yes,3,female,27,0,0,7.75,Q
49,No,3,male,16,2,0,21.6792,C
50,No,3,female,18,1,0,17.8,S
51,No,3,male,7,4,1,39.6875,S
52,No,3,male,21,0,0,7.8,S
53,Yes,1,female,49,1,0,76.7292,C
54,Yes,2,female,29,1,0,26,S
55,No,1,male,65,0,1,61.9792,C
56,Yes,1,male,46,0,0,35.5,S
57,Yes,2,female,21,0,0,10.5,S
58,No,3,male,28.5,0,0,7.2292,C
59,Yes,2,female,5,1,2,27.75,S
60,No,3,male,11,5,2,46.9,S
61,No,3,male,22,0,0,7.2292,C
62,Yes,1,female,38,0,0,80,
63,No,1,male,45,1,0,83.475,S
64,No,3,male,4,3,2,27.9,S
65,No,1,male,64,0,0,27.7208,C
66,Yes,3,male,7,1,1,15.2458,C
67,Yes,2,female,29,0,0,10.5,S
68,No,3,male,19,0,0,8.1583,S
69,Yes,3,female,17,4,2,7.925,S
70,No,3,male,26,2,0,8.6625,S
71,No,2,male,32,0,0,10.5,S
72,No,3,female,16,5,2,46.9,S
73,No,2,male,21,0,0,73.5,S
74,No,3,male,26,1,0,14.4542,C
75,Yes,3,male,32,0,0,56.4958,S
76,No,3,male,25,0,0,7.65,S
77,No,3,male,23,0,0,7.8958,S
78,No,3,male,28,0,0,8.05,S
79,Yes,2,male,0.83,0,2,29,S
80,Yes,3,female,30,0,0,12.475,S
81,No,3,male,22,0,0,9,S
82,Yes,3,male,29,0,0,9.5,S
83,Yes,3,female,31,0,0,7.7875,Q
84,No,1,male,28,0,0,47.1,S
85,Yes,2,female,17,0,0,10.5,S
86,Yes,3,female,33,3,0,15.85,S
87,No,3,male,16,1,3,34.375,S
88,No,3,male,20,0,0,8.05,S
89,Yes,1,female,23,3,2,263,S
90,No,3,male,24,0,0,8.05,S
91,No,3,male,29,0,0,8.05,S
92,No,3,male,20,0,0,7.8542,S
93,No,1,male,46,1,0,61.175,S
94,No,3,male,26,1,2,20.575,S
95,No,3,male,59,0,0,7.25,S
96,No,3,male,22,0,0,8.05,S
97,No,1,male,71,0,0,34.6542,C
98,Yes,1,male,23,0,1,63.3583,C
99,Yes,2,female,34,0,1,23,S
100,No,2,male,34,1,0,26,S
101,No,3,female,28,0,0,7.8958,S
102,No,3,male,29,0,0,7.8958,S
103,No,1,male,21,0,1,77.2875,S
104,No,3,male,33,0,0,8.6542,S
105,No,3,male,37,2,0,7.925,S
106,No,3,male,28,0,0,7.8958,S
107,Yes,3,female,21,0,0,7.65,S
108,Yes,3,male,29,0,0,7.775,S
109,No,3,male,38,0,0,7.8958,S
110,Yes,3,female,28,1,0,24.15,Q
111,No,1,male,47,0,0,52,S
112,No,3,female,14.5,1,0,14.4542,C
113,No,3,male,22,0,0,8.05,S
114,No,3,female,20,1,0,9.825,S
115,No,3,female,17,0,0,14.4583,C
116,No,3,male,21,0,0,7.925,S
117,No,3,male,70.5,0,0,7.75,Q
118,No,2,male,29,1,0,21,S
119,No,1,male,24,0,1,247.5208,C
120,No,3,female,2,4,2,31.275,S
121,No,2,male,21,2,0,73.5,S
122,No,3,male,19,0,0,8.05,S
123,No,2,male,32.5,1,0,30.0708,C
124,Yes,2,female,32.5,0,0,13,S
125,No,1,male,54,0,1,77.2875,S
126,Yes,3,male,12,1,0,11.2417,C
127,No,3,male,19,0,0,7.75,Q
128,Yes,3,male,24,0,0,7.1417,S
129,Yes,3,female,2,1,1,22.3583,C
130,No,3,male,45,0,0,6.975,S
131,No,3,male,33,0,0,7.8958,C
132,No,3,male,20,0,0,7.05,S
133,No,3,female,47,1,0,14.5,S
134,Yes,2,female,29,1,0,26,S
135,No,2,male,25,0,0,13,S
136,No,2,male,23,0,0,15.0458,C
137,Yes,1,female,19,0,2,26.2833,S
138,No,1,male,37,1,0,53.1,S
139,No,3,male,16,0,0,9.2167,S
140,No,1,male,24,0,0,79.2,C
141,No,3,female,40,0,2,15.2458,C
142,Yes,3,female,22,0,0,7.75,S
143,Yes,3,female,24,1,0,15.85,S
144,No,3,male,19,0,0,6.75,Q
145,No,2,male,18,0,0,11.5,S
146,No,2,male,19,1,1,36.75,S
147,Yes,3,male,27,0,0,7.7958,S
148,No,3,female,9,2,2,34.375,S
149,No,2,male,36.5,0,2,26,S
150,No,2,male,42,0,0,13,S
151,No,2,male,51,0,0,12.525,S
152,Yes,1,female,22,1,0,66.6,S
153,No,3,male,55.5,0,0,8.05,S
154,No,3,male,40.5,0,2,14.5,S
155,No,3,male,27,0,0,7.3125,S
156,No,1,male,51,0,1,61.3792,C
157,Yes,3,female,16,0,0,7.7333,Q
158,No,3,male,30,0,0,8.05,S
159,No,3,male,37,0,0,8.6625,S
160,No,3,male,5,8,2,69.55,S
161,No,3,male,44,0,1,16.1,S
162,Yes,2,female,40,0,0,15.75,S
163,No,3,male,26,0,0,7.775,S
164,No,3,male,17,0,0,8.6625,S
165,No,3,male,1,4,1,39.6875,S
166,Yes,3,male,9,0,2,20.525,S
167,Yes,1,female,48,0,1,55,S
168,No,3,female,45,1,4,27.9,S
169,No,1,male,60,0,0,25.925,S
170,No,3,male,28,0,0,56.4958,S
171,No,1,male,61,0,0,33.5,S
172,No,3,male,4,4,1,29.125,Q
173,Yes,3,female,1,1,1,11.1333,S
174,No,3,male,21,0,0,7.925,S
175,No,1,male,56,0,0,30.6958,C
176,No,3,male,18,1,1,7.8542,S
177,No,3,male,5,3,1,25.4667,S
178,No,1,female,50,0,0,28.7125,C
179,No,2,male,30,0,0,13,S
180,No,3,male,36,0,0,0,S
181,No,3,female,8,8,2,69.55,S
182,No,2,male,39,0,0,15.05,C
183,No,3,male,9,4,2,31.3875,S
184,Yes,2,male,1,2,1,39,S
185,Yes,3,female,4,0,2,22.025,S
186,No,1,male,39,0,0,50,S
187,Yes,3,female,26,1,0,15.5,Q
188,Yes,1,male,45,0,0,26.55,S
189,No,3,male,40,1,1,15.5,Q
190,No,3,male,36,0,0,7.8958,S
191,Yes,2,female,32,0,0,13,S
192,No,2,male,19,0,0,13,S
193,Yes,3,female,19,1,0,7.8542,S
194,Yes,2,male,3,1,1,26,S
195,Yes,1,female,44,0,0,27.7208,C
196,Yes,1,female,58,0,0,146.5208,C
197,No,3,male,28,0,0,7.75,Q
198,No,3,male,42,0,1,8.4042,S
199,Yes,3,female,21,0,0,7.75,Q
200,No,2,female,24,0,0,13,S
201,No,3,male,28,0,0,9.5,S
202,No,3,male,17,8,2,69.55,S
203,No,3,male,34,0,0,6.4958,S
204,No,3,male,45.5,0,0,7.225,C
205,Yes,3,male,18,0,0,8.05,S
206,No,3,female,2,0,1,10.4625,S
207,No,3,male,32,1,0,15.85,S
208,Yes,3,male,26,0,0,18.7875,C
209,Yes,3,female,16,0,0,7.75,Q
210,Yes,1,male,40,0,0,31,C
211,No,3,male,24,0,0,7.05,S
212,Yes,2,female,35,0,0,21,S
213,No,3,male,22,0,0,7.25,S
214,No,2,male,30,0,0,13,S
215,No,3,male,22,1,0,7.75,Q
216,Yes,1,female,31,1,0,113.275,C
217,Yes,3,female,27,0,0,7.925,S
218,No,2,male,42,1,0,27,S
219,Yes,1,female,32,0,0,76.2917,C
220,No,2,male,30,0,0,10.5,S
221,Yes,3,male,16,0,0,8.05,S
222,No,2,male,27,0,0,13,S
223,No,3,male,51,0,0,8.05,S
224,No,3,male,22,0,0,7.8958,S
225,Yes,1,male,38,1,0,90,S
226,No,3,male,22,0,0,9.35,S
227,Yes,2,male,19,0,0,10.5,S
228,No,3,male,20.5,0,0,7.25,S
229,No,2,male,18,0,0,13,S
230,No,3,female,12,3,1,25.4667,S
231,Yes,1,female,35,1,0,83.475,S
232,No,3,male,29,0,0,7.775,S
233,No,2,male,59,0,0,13.5,S
234,Yes,3,female,5,4,2,31.3875,S
235,No,2,male,24,0,0,10.5,S
236,No,3,female,21,0,0,7.55,S
237,No,2,male,44,1,0,26,S
238,Yes,2,female,8,0,2,26.25,S
239,No,2,male,19,0,0,10.5,S
240,No,2,male,33,0,0,12.275,S
241,No,3,female,19,1,0,14.4542,C
242,Yes,3,female,18,1,0,15.5,Q
243,No,2,male,29,0,0,10.5,S
244,No,3,male,22,0,0,7.125,S
245,No,3,male,30,0,0,7.225,C
246,No,1,male,44,2,0,90,Q
247,No,3,female,25,0,0,7.775,S
248,Yes,2,female,24,0,2,14.5,S
249,Yes,1,male,37,1,1,52.5542,S
250,No,2,male,54,1,0,26,S
251,No,3,male,18,0,0,7.25,S
252,No,3,female,29,1,1,10.4625,S
253,No,1,male,62,0,0,26.55,S
254,No,3,male,30,1,0,16.1,S
255,No,3,female,41,0,2,20.2125,S
256,Yes,3,female,29,0,2,15.2458,C
257,Yes,1,female,38,0,0,79.2,C
258,Yes,1,female,30,0,0,86.5,S
259,Yes,1,female,35,0,0,512.3292,C
260,Yes,2,female,50,0,1,26,S
261,No,3,male,,0,0,7.75,Q
262,Yes,3,male,3,4,2,31.3875,S
263,No,1,male,52,1,1,79.65,S
264,No,1,male,40,0,0,0,S
265,No,3,female,21,0,0,7.75,Q
266,No,2,male,36,0,0,10.5,S
267,No,3,male,16,4,1,39.6875,S
268,Yes,3,male,25,1,0,7.775,S
269,Yes,1,female,58,0,1,153.4625,S
270,Yes,1,female,35,0,0,135.6333,S
271,No,1,male,28,0,0,31,S
272,Yes,3,male,25,0,0,0,S
273,Yes,2,female,41,0,1,19.5,S
274,No,1,male,37,0,1,29.7,C
275,Yes,3,female,33,0,0,7.75,Q
276,Yes,1,female,63,1,0,77.9583,S
277,No,3,female,45,0,0,7.75,S
278,No,2,male,21,0,0,0,S
279,No,3,male,7,4,1,29.125,Q
280,Yes,3,female,35,1,1,20.25,S
281,No,3,male,65,0,0,7.75,Q
282,No,3,male,28,0,0,7.8542,S
283,No,3,male,16,0,0,9.5,S
284,Yes,3,male,19,0,0,8.05,S
285,No,1,male,57,0,0,26,S
286,No,3,male,33,0,0,8.6625,C
287,Yes,3,male,30,0,0,9.5,S
288,No,3,male,22,0,0,7.8958,S
289,Yes,2,male,42,0,0,13,S
290,Yes,3,female,22,0,0,7.75,Q
291,Yes,1,female,26,0,0,78.85,S
292,Yes,1,female,19,1,0,91.0792,C
293,No,2,male,36,0,0,12.875,C
294,No,3,female,24,0,0,8.85,S
295,No,3,male,24,0,0,7.8958,S
296,No,1,male,30,0,0,27.7208,C
297,No,3,male,23.5,0,0,7.2292,C
298,No,1,female,2,1,2,151.55,S
299,Yes,1,male,47,0,0,30.5,S
300,Yes,1,female,50,0,1,247.5208,C
301,Yes,3,female,20,0,0,7.75,Q
302,Yes,3,male,24,2,0,23.25,Q
303,No,3,male,19,0,0,0,S
304,Yes,2,female,46,0,0,12.35,Q
305,No,3,male,28,0,0,8.05,S
306,Yes,1,male,0.92,1,2,151.55,S
307,Yes,1,female,42,0,0,110.8833,C
308,Yes,1,female,17,1,0,108.9,C
309,No,2,male,30,1,0,24,C
310,Yes,1,female,30,0,0,56.9292,C
311,Yes,1,female,24,0,0,83.1583,C
312,Yes,1,female,18,2,2,262.375,C
313,No,2,female,26,1,1,26,S
314,No,3,male,28,0,0,7.8958,S
315,No,2,male,43,1,1,26.25,S
316,Yes,3,female,26,0,0,7.8542,S
317,Yes,2,female,24,1,0,26,S
318,No,2,male,54,0,0,14,S
319,Yes,1,female,31,0,2,164.8667,S
320,Yes,1,female,40,1,1,134.5,C
321,No,3,male,22,0,0,7.25,S
322,No,3,male,27,0,0,7.8958,S
323,Yes,2,female,30,0,0,12.35,Q
324,Yes,2,female,22,1,1,29,S
325,No,3,male,20,8,2,69.55,S
326,Yes,1,female,36,0,0,135.6333,C
327,No,3,male,61,0,0,6.2375,S
328,Yes,2,female,36,0,0,13,S
329,Yes,3,female,31,1,1,20.525,S
330,Yes,1,female,16,0,1,57.9792,C
331,Yes,3,female,28,2,0,23.25,Q
332,No,1,male,45.5,0,0,28.5,S
333,No,1,male,38,0,1,153.4625,S
334,No,3,male,16,2,0,18,S
335,Yes,1,female,42,1,0,133.65,S
336,No,3,male,30,0,0,7.8958,S
337,No,1,male,29,1,0,66.6,S
338,Yes,1,female,41,0,0,134.5,C
339,Yes,3,male,45,0,0,8.05,S
340,No,1,male,45,0,0,35.5,S
341,Yes,2,male,2,1,1,26,S
342,Yes,1,female,24,3,2,263,S
343,No,2,male,28,0,0,13,S
344,No,2,male,25,0,0,13,S
345,No,2,male,36,0,0,13,S
346,Yes,2,female,24,0,0,13,S
347,Yes,2,female,40,0,0,13,S
348,Yes,3,female,34,1,0,16.1,S
349,Yes,3,male,3,1,1,15.9,S
350,No,3,male,42,0,0,8.6625,S
351,No,3,male,23,0,0,9.225,S
352,No,1,male,43,0,0,35,S
353,No,3,male,15,1,1,7.2292,C
354,No,3,male,25,1,0,17.8,S
355,No,3,male,23,0,0,7.225,C
356,No,3,male,28,0,0,9.5,S
357,Yes,1,female,22,0,1,55,S
358,No,2,female,38,0,0,13,S
359,Yes,3,female,22,0,0,7.8792,Q
360,Yes,3,female,23,0,0,7.8792,Q
361,No,3,male,40,1,4,27.9,S
362,No,2,male,29,1,0,27.7208,C
363,No,3,female,45,0,1,14.4542,C
364,No,3,male,35,0,0,7.05,S
365,No,3,male,27,1,0,15.5,Q
366,No,3,male,30,0,0,7.25,S
367,Yes,1,female,60,1,0,75.25,C
368,Yes,3,female,35,0,0,7.2292,C
369,Yes,3,female,22,0,0,7.75,Q
370,Yes,1,female,24,0,0,69.3,C
371,Yes,1,male,25,1,0,55.4417,C
372,No,3,male,18,1,0,6.4958,S
373,No,3,male,19,0,0,8.05,S
374,No,1,male,22,0,0,135.6333,C
375,No,3,female,3,3,1,21.075,S
376,Yes,1,female,25,1,0,82.1708,C
377,Yes,3,female,22,0,0,7.25,S
378,No,1,male,27,0,2,211.5,C
379,No,3,male,20,0,0,4.0125,C
380,No,3,male,19,0,0,7.775,S
381,Yes,1,female,42,0,0,227.525,C
382,Yes,3,female,1,0,2,15.7417,C
383,No,3,male,32,0,0,7.925,S
384,Yes,1,female,35,1,0,52,S
385,No,3,male,27,0,0,7.8958,S
386,No,2,male,18,0,0,73.5,S
387,No,3,male,1,5,2,46.9,S
388,Yes,2,female,36,0,0,13,S
389,No,3,male,19,0,0,7.7292,Q
390,Yes,2,female,17,0,0,12,C
391,Yes,1,male,36,1,2,120,S
392,Yes,3,male,21,0,0,7.7958,S
393,No,3,male,28,2,0,7.925,S
394,Yes,1,female,23,1,0,113.275,C
395,Yes,3,female,24,0,2,16.7,S
396,No,3,male,22,0,0,7.7958,S
397,No,3,female,31,0,0,7.8542,S
398,No,2,male,46,0,0,26,S
399,No,2,male,23,0,0,10.5,S
400,Yes,2,female,28,0,0,12.65,S
401,Yes,3,male,39,0,0,7.925,S
402,No,3,male,26,0,0,8.05,S
403,No,3,female,21,1,0,9.825,S
404,No,3,male,28,1,0,15.85,S
405,No,3,female,20,0,0,8.6625,S
406,No,2,male,34,1,0,21,S
407,No,3,male,51,0,0,7.75,S
408,Yes,2,male,3,1,1,18.75,S
409,No,3,male,21,0,0,7.775,S
410,No,3,female,3,3,1,25.4667,S
411,No,3,male,42,0,0,7.8958,S
412,No,3,male,27,0,0,6.8583,Q
413,Yes,1,female,33,1,0,90,Q
414,No,2,male,22,0,0,0,S
415,Yes,3,male,44,0,0,7.925,S
416,No,3,female,32,0,0,8.05,S
417,Yes,2,female,34,1,1,32.5,S
418,Yes,2,female,18,0,2,13,S
419,No,2,male,30,0,0,13,S
420,No,3,female,10,0,2,24.15,S
421,No,3,male,,0,0,7.8958,C
422,No,3,male,21,0,0,7.7333,Q
423,No,3,male,29,0,0,7.875,S
424,No,3,female,28,1,1,14.4,S
425,No,3,male,18,1,1,20.2125,S
426,No,3,male,54,0,0,7.25,S
427,Yes,2,female,28,1,0,26,S
428,Yes,2,female,19,0,0,26,S
429,No,3,male,28,0,0,7.75,Q
430,Yes,3,male,32,0,0,8.05,S
431,Yes,1,male,28,0,0,26.55,S
432,Yes,3,female,33,1,0,16.1,S
433,Yes,2,female,42,1,0,26,S
434,No,3,male,17,0,0,7.125,S
435,No,1,male,50,1,0,55.9,S
436,Yes,1,female,14,1,2,120,S
437,No,3,female,21,2,2,34.375,S
438,Yes,2,female,24,2,3,18.75,S
439,No,1,male,64,1,4,263,S
440,No,2,male,31,0,0,10.5,S
441,Yes,2,female,45,1,1,26.25,S
442,No,3,male,20,0,0,9.5,S
443,No,3,male,25,1,0,7.775,S
444,Yes,2,female,28,0,0,13,S
445,Yes,3,male,29,0,0,8.1125,S
